,Suburb,Rooms,Type,Price,Method,SellerG,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Lattitude,Longtitude,Regionname,Propertycount
21,Abbotsford,1,u,441000.0,SP,Greg,2.5,3067.0,1.0,1.0,1.0,0.0,151.22021949239888,1965.8799955347176,-37.8016,144.9988,Northern Metropolitan,4019.0
22,Abbotsford,2,h,1310000.0,S,Jellis,2.5,3067.0,2.0,1.0,2.0,238.0,97.0,1890.0,-37.809,144.9976,Northern Metropolitan,4019.0
23,Abbotsford,3,h,1200000.0,S,Jellis,2.5,3067.0,3.0,2.0,1.0,113.0,110.0,1880.0,-37.8056,144.993,Northern Metropolitan,4019.0
24,Abbotsford,2,t,847000.0,S,Jellis,2.5,3067.0,0.0,0.0,0.0,558.1163713886642,151.22021949239888,1965.8799955347176,-37.809849065321295,144.99633776420606,Northern Metropolitan,4019.0
25,Abbotsford,3,h,1176500.0,S,LITTLE,2.5,3067.0,2.0,1.0,1.0,138.0,105.0,1890.0,-37.8021,144.9965,Northern Metropolitan,4019.0
26,Abbotsford,3,h,955000.0,S,Collins,2.5,3067.0,3.0,1.0,0.0,183.0,151.22021949239888,1965.8799955347176,-37.8022,144.9975,Northern Metropolitan,4019.0
27,Abbotsford,2,h,890000.0,S,Biggin,2.5,3067.0,2.0,1.0,1.0,150.0,73.0,1985.0,-37.8011,145.0004,Northern Metropolitan,4019.0
28,Abbotsford,4,h,1330000.0,PI,Kay,2.5,3067.0,4.0,2.0,2.0,780.0,135.0,1900.0,-37.8073,144.9952,Northern Metropolitan,4019.0
29,Abbotsford,3,t,900000.0,S,Beller,2.5,3067.0,3.0,2.0,2.0,0.0,151.22021949239888,2010.0,-37.8093,144.9959,Northern Metropolitan,4019.0
30,Abbotsford,3,u,1090000.0,S,Jellis,2.5,3067.0,3.0,2.0,2.0,4290.0,27.0,1965.8799955347176,-37.8078,144.9965,Northern Metropolitan,4019.0
31,Abbotsford,2,u,500000.0,S,Collins,2.5,3067.0,2.0,1.0,1.0,0.0,60.0,1970.0,-37.8015,144.9972,Northern Metropolitan,4019.0
32,Abbotsford,2,h,1100000.0,PI,Biggin,2.5,3067.0,2.0,2.0,1.0,124.0,135.0,2013.0,-37.8079,144.9977,Northern Metropolitan,4019.0
33,Abbotsford,2,h,1315000.0,S,Marshall,2.5,3067.0,2.0,1.0,0.0,147.0,85.0,1900.0,-37.808,144.994,Northern Metropolitan,4019.0
34,Abbotsford,1,u,480000.0,S,Biggin,2.5,3067.0,0.0,0.0,0.0,558.1163713886642,151.22021949239888,1965.8799955347176,-37.809849065321295,144.99633776420606,Northern Metropolitan,4019.0
35,Abbotsford,1,u,423500.0,S,hockingstuart,2.5,3067.0,0.0,0.0,0.0,558.1163713886642,151.22021949239888,1965.8799955347176,-37.809849065321295,144.99633776420606,Northern Metropolitan,4019.0
36,Abbotsford,1,u,426000.0,SP,Greg,2.5,3067.0,1.0,1.0,1.0,0.0,151.22021949239888,1965.8799955347176,-37.8016,144.9988,Northern Metropolitan,4019.0
37,Abbotsford,3,h,1447500.0,PI,Nelson,2.5,3067.0,3.0,3.0,1.0,166.0,174.0,2012.0,-37.8017,145.0001,Northern Metropolitan,4019.0
38,Abbotsford,1,u,457000.0,S,Jellis,2.5,3067.0,1.0,1.0,1.0,0.0,50.0,1965.8799955347176,-37.8078,144.9965,Northern Metropolitan,4019.0
39,Abbotsford,2,h,1135000.0,S,Nelson,2.5,3067.0,2.0,2.0,2.0,98.0,128.0,1920.0,-37.8005,144.9952,Northern Metropolitan,4019.0
40,Abbotsford,2,h,700000.0,S,Biggin,2.5,3067.0,0.0,0.0,0.0,558.1163713886642,151.22021949239888,1965.8799955347176,-37.809849065321295,144.99633776420606,Northern Metropolitan,4019.0
41,Abbotsford,4,h,1542000.0,S,Collins,2.5,3067.0,4.0,3.0,1.0,0.0,151.22021949239888,1965.8799955347176,-37.7994,144.9965,Northern Metropolitan,4019.0
42,Abbotsford,3,t,962000.0,SP,Jellis,2.5,3067.0,0.0,0.0,0.0,558.1163713886642,151.22021949239888,1965.8799955347176,-37.7972,144.9969,Northern Metropolitan,4019.0
43,Abbotsford,3,h,1290000.0,S,Biggin,2.5,3067.0,3.0,2.0,2.0,147.0,18.0,1965.8799955347176,-37.805,144.9943,Northern Metropolitan,4019.0
44,Abbotsford,3,h,1290000.0,S,Biggin,2.5,3067.0,3.0,1.0,1.0,168.0,124.0,1950.0,-37.8007,144.9958,Northern Metropolitan,4019.0
45,Abbotsford,1,u,470000.0,S,Nelson,2.5,3067.0,1.0,1.0,1.0,0.0,50.0,2013.0,-37.8055,144.9961,Northern Metropolitan,4019.0
46,Abbotsford,2,h,1180000.0,S,Jellis,2.5,3067.0,2.0,1.0,0.0,162.0,91.0,1900.0,-37.8016,144.9956,Northern Metropolitan,4019.0
47,Abbotsford,3,h,1195000.0,SP,Jellis,2.5,3067.0,3.0,2.0,1.0,120.0,128.0,1998.0,-37.8022,144.9954,Northern Metropolitan,4019.0
48,Abbotsford,2,h,1012500.0,S,Nelson,2.5,3067.0,2.0,1.0,0.0,182.0,82.0,1900.0,-37.8021,144.9976,Northern Metropolitan,4019.0
49,Abbotsford,2,u,970000.0,SP,Biggin,2.5,3067.0,0.0,0.0,0.0,558.1163713886642,151.22021949239888,1965.8799955347176,-37.809849065321295,144.99633776420606,Northern Metropolitan,4019.0
50,Abbotsford,2,h,1030000.0,S,Biggin,2.5,3067.0,2.0,1.0,1.0,172.0,81.0,1930.0,-37.8086,144.9946,Northern Metropolitan,4019.0
51,Abbotsford,3,h,927000.0,S,Biggin,2.5,3067.0,0.0,0.0,0.0,558.1163713886642,151.22021949239888,1965.8799955347176,-37.809849065321295,144.99633776420606,Northern Metropolitan,4019.0
52,Airport West,3,t,840000.0,PI,Nelson,13.5,3042.0,3.0,2.0,1.0,303.0,225.0,2016.0,-37.718,144.878,Western Metropolitan,3464.0
53,Airport West,3,h,730000.0,VB,Nelson,13.5,3042.0,3.0,2.0,1.0,0.0,145.0,1965.0,-37.7203,144.8755,Western Metropolitan,3464.0
54,Airport West,3,h,770000.0,SP,Nelson,13.5,3042.0,3.0,2.0,1.0,0.0,145.0,1965.0,-37.7203,144.8755,Western Metropolitan,3464.0
55,Airport West,2,h,603000.0,S,Nelson,13.5,3042.0,2.0,1.0,1.0,272.0,84.0,1950.0,-37.7294,144.888,Western Metropolitan,3464.0
56,Airport West,3,t,700000.0,S,Brad,13.5,3042.0,3.0,2.0,2.0,239.0,134.0,2009.0,-37.7218,144.8837,Western Metropolitan,3464.0
57,Airport West,3,h,600000.0,S,Maddison,13.5,3042.0,2.0,1.0,1.0,290.0,116.0,1980.0,-37.7273,144.8744,Western Metropolitan,3464.0
58,Airport West,2,u,500000.0,VB,Barry,13.5,3042.0,2.0,1.0,1.0,168.0,86.0,2011.0,-37.7215,144.8864,Western Metropolitan,3464.0
59,Airport West,2,t,420000.0,VB,Barry,13.5,3042.0,0.0,0.0,0.0,558.1163713886642,151.22021949239888,1965.8799955347176,-37.809849065321295,144.99633776420606,Western Metropolitan,3464.0
60,Airport West,3,t,500000.0,VB,Nelson,13.5,3042.0,0.0,0.0,0.0,558.1163713886642,151.22021949239888,1965.8799955347176,-37.809849065321295,144.99633776420606,Western Metropolitan,3464.0
61,Airport West,5,h,1035000.0,S,Airport,13.5,3042.0,0.0,0.0,0.0,558.1163713886642,151.22021949239888,1965.8799955347176,-37.809849065321295,144.99633776420606,Western Metropolitan,3464.0
62,Airport West,4,h,960000.0,S,Barry,13.5,3042.0,0.0,0.0,0.0,558.1163713886642,151.22021949239888,1965.8799955347176,-37.809849065321295,144.99633776420606,Western Metropolitan,3464.0
63,Airport West,4,h,960000.0,S,Nelson,13.5,3042.0,0.0,0.0,0.0,558.1163713886642,151.22021949239888,1965.8799955347176,-37.809849065321295,144.99633776420606,Western Metropolitan,3464.0
64,Airport West,3,h,720000.0,S,Barry,13.5,3042.0,2.0,1.0,1.0,620.0,151.22021949239888,1965.8799955347176,-37.7173,144.8872,Western Metropolitan,3464.0
65,Airport West,4,h,785000.0,S,Considine,13.5,3042.0,3.0,1.0,2.0,597.0,127.0,1965.8799955347176,-37.7259,144.8792,Western Metropolitan,3464.0
66,Airport West,6,h,725000.0,SP,Barry,13.5,3042.0,6.0,3.0,2.0,976.0,186.0,1980.0,-37.7239,144.8735,Western Metropolitan,3464.0
67,Airport West,2,t,450000.0,S,Barry,13.5,3042.0,2.0,1.0,1.0,110.0,90.0,2015.0,-37.7216,144.871,Western Metropolitan,3464.0
68,Airport West,2,u,515000.0,S,Barry,13.5,3042.0,2.0,1.0,1.0,141.0,73.0,2013.0,-37.7298,144.8883,Western Metropolitan,3464.0
69,Airport West,3,h,680000.0,VB,Nelson,13.5,3042.0,0.0,0.0,0.0,558.1163713886642,151.22021949239888,1965.8799955347176,-37.809849065321295,144.99633776420606,Western Metropolitan,3464.0
70,Airport West,2,u,530000.0,S,Nelson,13.5,3042.0,2.0,1.0,1.0,120.0,94.0,2012.0,-37.7234,144.8792,Western Metropolitan,3464.0
71,Airport West,3,h,895000.0,PI,Rendina,13.5,3042.0,3.0,1.0,6.0,1063.0,133.0,1975.0,-37.7249,144.8728,Western Metropolitan,3464.0
72,Airport West,3,u,600000.0,VB,Nelson,13.5,3042.0,0.0,0.0,0.0,558.1163713886642,151.22021949239888,1965.8799955347176,-37.809849065321295,144.99633776420606,Western Metropolitan,3464.0
73,Airport West,3,h,805000.0,S,Nelson,13.5,3042.0,3.0,1.0,1.0,0.0,105.0,1950.0,-37.7217,144.8783,Western Metropolitan,3464.0
74,Airport West,3,t,760000.0,PI,Barry,13.5,3042.0,0.0,0.0,0.0,558.1163713886642,151.22021949239888,1965.8799955347176,-37.809849065321295,144.99633776420606,Western Metropolitan,3464.0
75,Airport West,3,u,752000.0,S,Nelson,13.5,3042.0,3.0,1.0,1.0,265.0,130.0,1993.0,-37.7302,144.8855,Western Metropolitan,3464.0
76,Airport West,3,u,580000.0,VB,Nelson,13.5,3042.0,0.0,0.0,0.0,558.1163713886642,151.22021949239888,1965.8799955347176,-37.809849065321295,144.99633776420606,Western Metropolitan,3464.0
77,Airport West,3,h,725000.0,PI,Ray,13.5,3042.0,0.0,0.0,0.0,558.1163713886642,151.22021949239888,1965.8799955347176,-37.809849065321295,144.99633776420606,Western Metropolitan,3464.0
78,Airport West,4,h,758000.0,S,Jellis,13.5,3042.0,0.0,0.0,0.0,558.1163713886642,151.22021949239888,1965.8799955347176,-37.809849065321295,144.99633776420606,Western Metropolitan,3464.0
79,Airport West,2,u,440000.0,S,Barry,13.5,3042.0,2.0,1.0,1.0,192.0,151.22021949239888,1965.8799955347176,-37.7177,144.8787,Western Metropolitan,3464.0
80,Airport West,3,h,970000.0,S,Barry,13.5,3042.0,0.0,0.0,0.0,558.1163713886642,151.22021949239888,1965.8799955347176,-37.809849065321295,144.99633776420606,Western Metropolitan,3464.0
81,Airport West,5,h,755000.0,PI,Propertyau,13.5,3042.0,3.0,2.0,2.0,596.0,151.22021949239888,1965.8799955347176,-37.7248,144.8699,Western Metropolitan,3464.0
82,Airport West,4,h,985000.0,S,Barry,13.5,3042.0,0.0,0.0,0.0,558.1163713886642,151.22021949239888,1965.8799955347176,-37.809849065321295,144.99633776420606,Western Metropolitan,3464.0
83,Airport West,3,t,700000.0,PI,Brad,13.5,3042.0,3.0,2.0,2.0,165.0,133.0,2009.0,-37.727,144.887,Western Metropolitan,3464.0
84,Airport West,2,u,509500.0,SP,Nelson,13.5,3042.0,0.0,0.0,0.0,558.1163713886642,151.22021949239888,1965.8799955347176,-37.809849065321295,144.99633776420606,Western Metropolitan,3464.0
85,Airport West,3,h,830000.0,S,Barry,13.5,3042.0,3.0,1.0,2.0,971.0,113.0,1960.0,-37.7186,144.876,Western Metropolitan,3464.0
86,Airport West,2,u,462500.0,S,Barry,13.5,3042.0,2.0,1.0,1.0,164.0,151.22021949239888,2003.0,-37.7218,144.8863,Western Metropolitan,3464.0
87,Airport West,3,h,670000.0,SP,Barry,13.5,3042.0,3.0,2.0,2.0,657.0,151.22021949239888,1965.8799955347176,-37.7269,144.8742,Western Metropolitan,3464.0
88,Airport West,2,h,675000.0,S,Barry,13.5,3042.0,2.0,1.0,1.0,612.0,100.0,1975.0,-37.7187,144.8765,Western Metropolitan,3464.0
89,Airport West,3,h,1042000.0,S,Nelson,13.5,3042.0,3.0,2.0,5.0,612.0,174.0,1950.0,-37.7173,144.8796,Western Metropolitan,3464.0
90,Airport West,3,h,910000.0,S,McDonald,13.5,3042.0,3.0,1.0,1.0,775.0,151.22021949239888,1965.8799955347176,-37.7231,144.8835,Western Metropolitan,3464.0
91,Airport West,4,h,773000.0,S,Brad,13.5,3042.0,5.0,3.0,4.0,531.0,309.0,1980.0,-37.7263,144.8679,Western Metropolitan,3464.0
92,Airport West,3,h,715000.0,S,Barry,13.5,3042.0,0.0,0.0,0.0,558.1163713886642,151.22021949239888,1965.8799955347176,-37.809849065321295,144.99633776420606,Western Metropolitan,3464.0
93,Airport West,3,h,810000.0,PI,Barry,13.5,3042.0,3.0,3.0,2.0,555.0,192.0,1980.0,-37.7285,144.8694,Western Metropolitan,3464.0
94,Airport West,3,h,715000.0,S,Rendina,13.5,3042.0,3.0,2.0,2.0,422.0,126.0,1995.0,-37.7164,144.8792,Western Metropolitan,3464.0
95,Airport West,3,h,790000.0,S,Nelson,13.5,3042.0,3.0,1.0,3.0,614.0,151.22021949239888,1965.8799955347176,-37.7194,144.8827,Western Metropolitan,3464.0
96,Airport West,2,t,460000.0,VB,Nelson,13.5,3042.0,0.0,0.0,0.0,558.1163713886642,151.22021949239888,1965.8799955347176,-37.809849065321295,144.99633776420606,Western Metropolitan,3464.0
97,Airport West,3,t,540000.0,SP,Nelson,13.5,3042.0,2.0,2.0,1.0,161.0,101.0,2010.0,-37.7231,144.8802,Western Metropolitan,3464.0
98,Airport West,3,t,825000.0,SP,Barry,13.5,3042.0,3.0,2.0,1.0,293.0,102.0,1960.0,-37.72,144.8776,Western Metropolitan,3464.0
99,Airport West,3,h,685000.0,S,Barry,13.5,3042.0,3.0,1.0,1.0,579.0,113.0,1975.0,-37.7226,144.8733,Western Metropolitan,3464.0
100,Airport West,3,u,445000.0,S,Brad,13.5,3042.0,0.0,0.0,0.0,558.1163713886642,151.22021949239888,1965.8799955347176,-37.809849065321295,144.99633776420606,Western Metropolitan,3464.0
101,Airport West,3,h,805000.0,S,Barry,13.5,3042.0,3.0,1.0,1.0,623.0,151.22021949239888,1965.8799955347176,-37.7184,144.882,Western Metropolitan,3464.0
102,Airport West,2,u,510000.0,S,Nelson,13.5,3042.0,2.0,1.0,1.0,141.0,76.0,1965.8799955347176,-37.7202,144.8797,Western Metropolitan,3464.0
103,Airport West,3,h,612000.0,S,Nelson,13.5,3042.0,3.0,2.0,1.0,212.0,151.22021949239888,1965.8799955347176,-37.7181,144.8824,Western Metropolitan,3464.0
104,Airport West,3,h,662000.0,S,Brad,13.5,3042.0,3.0,1.0,2.0,612.0,151.22021949239888,1965.8799955347176,-37.7169,144.8815,Western Metropolitan,3464.0
105,Airport West,4,h,978000.0,S,Nelson,13.5,3042.0,4.0,3.0,2.0,532.0,151.22021949239888,1965.8799955347176,-37.7263,144.869,Western Metropolitan,3464.0
106,Airport West,3,h,720000.0,PI,Nelson,13.5,3042.0,3.0,1.0,1.0,585.0,151.22021949239888,1965.8799955347176,-37.72,144.878,Western Metropolitan,3464.0
107,Airport West,2,u,474000.0,PI,Barry,13.5,3042.0,0.0,0.0,0.0,558.1163713886642,151.22021949239888,1965.8799955347176,-37.809849065321295,144.99633776420606,Western Metropolitan,3464.0
108,Airport West,2,t,490000.0,SP,Frank,13.5,3042.0,0.0,0.0,0.0,558.1163713886642,151.22021949239888,1965.8799955347176,-37.809849065321295,144.99633776420606,Western Metropolitan,3464.0
109,Airport West,3,h,405000.0,S,Ray,13.5,3042.0,0.0,0.0,0.0,558.1163713886642,151.22021949239888,1965.8799955347176,-37.809849065321295,144.99633776420606,Western Metropolitan,3464.0
110,Airport West,3,t,715000.0,S,Barry,13.5,3042.0,0.0,0.0,0.0,558.1163713886642,151.22021949239888,1965.8799955347176,-37.809849065321295,144.99633776420606,Western Metropolitan,3464.0
111,Airport West,3,u,671500.0,S,McDonald,13.5,3042.0,0.0,0.0,0.0,558.1163713886642,151.22021949239888,1965.8799955347176,-37.809849065321295,144.99633776420606,Western Metropolitan,3464.0
112,Airport West,4,h,765000.0,S,Prof.,13.5,3042.0,4.0,1.0,2.0,509.0,151.22021949239888,1965.8799955347176,-37.7261,144.8785,Western Metropolitan,3464.0
113,Airport West,4,h,900000.0,S,Harcourts,13.5,3042.0,4.0,2.0,3.0,628.0,146.0,1975.0,-37.7256,144.8739,Western Metropolitan,3464.0
114,Airport West,3,u,820000.0,S,Nelson,13.5,3042.0,0.0,0.0,0.0,558.1163713886642,151.22021949239888,1965.8799955347176,-37.809849065321295,144.99633776420606,Western Metropolitan,3464.0
115,Airport West,3,u,650000.0,PI,Nelson,13.5,3042.0,0.0,0.0,0.0,558.1163713886642,151.22021949239888,1965.8799955347176,-37.809849065321295,144.99633776420606,Western Metropolitan,3464.0
116,Airport West,3,t,552000.0,SP,Nelson,13.5,3042.0,0.0,0.0,0.0,558.1163713886642,151.22021949239888,1965.8799955347176,-37.809849065321295,144.99633776420606,Western Metropolitan,3464.0
117,Albert Park,2,h,1275000.0,S,hockingstuart,3.3,3206.0,2.0,1.0,0.0,120.0,82.0,1900.0,-37.8459,144.9555,Southern Metropolitan,3280.0
118,Albert Park,2,h,1455000.0,S,Thomson,3.3,3206.0,2.0,1.0,0.0,159.0,151.22021949239888,1965.8799955347176,-37.845,144.9538,Southern Metropolitan,3280.0
119,Albert Park,3,h,2850000.0,PI,Buxton,3.3,3206.0,3.0,2.0,0.0,211.0,198.0,1890.0,-37.8481,144.9499,Southern Metropolitan,3280.0
120,Albert Park,3,h,1850000.0,S,Greg,3.3,3206.0,3.0,2.0,0.0,128.0,133.0,1890.0,-37.8452,144.9488,Southern Metropolitan,3280.0
121,Albert Park,2,h,1436000.0,S,RT,3.3,3206.0,2.0,1.0,0.0,130.0,81.0,1900.0,-37.8431,144.9565,Southern Metropolitan,3280.0
122,Albert Park,2,h,1110000.0,S,Marshall,3.3,3206.0,1.0,1.0,0.0,147.0,151.22021949239888,1900.0,-37.8444,144.9484,Southern Metropolitan,3280.0
123,Albert Park,2,h,1550000.0,S,Sotheby's,3.3,3206.0,2.0,1.0,1.0,167.0,151.22021949239888,1965.8799955347176,-37.8405,144.9521,Southern Metropolitan,3280.0
124,Albert Park,4,h,2300000.0,S,Marshall,3.3,3206.0,4.0,2.0,1.0,153.0,180.0,1880.0,-37.8447,144.9523,Southern Metropolitan,3280.0
125,Albert Park,3,t,1550000.0,VB,Marshall,3.3,3206.0,3.0,2.0,2.0,718.0,151.22021949239888,1965.8799955347176,-37.8443,144.9598,Southern Metropolitan,3280.0
126,Albert Park,3,h,1800000.0,VB,Greg,3.3,3206.0,3.0,2.0,1.0,132.0,159.0,1996.0,-37.8415,144.952,Southern Metropolitan,3280.0
127,Albert Park,3,h,2485000.0,S,Cayzer,3.3,3206.0,0.0,0.0,0.0,558.1163713886642,151.22021949239888,1965.8799955347176,-37.809849065321295,144.99633776420606,Southern Metropolitan,3280.0
128,Albert Park,2,h,2120000.0,S,Greg,3.3,3206.0,2.0,1.0,1.0,199.0,107.0,1900.0,-37.8422,144.9554,Southern Metropolitan,3280.0
129,Albert Park,3,h,1800000.0,VB,Cayzer,3.3,3206.0,3.0,1.0,1.0,253.0,151.22021949239888,1965.8799955347176,-37.8443,144.9579,Southern Metropolitan,3280.0
130,Albert Park,3,h,1800000.0,S,Marshall,3.3,3206.0,3.0,2.0,1.0,90.0,122.0,1900.0,-37.8421,144.9571,Southern Metropolitan,3280.0
131,Albert Park,2,h,1810000.0,PI,Greg,3.3,3206.0,2.0,1.0,0.0,240.0,151.22021949239888,1965.8799955347176,-37.8379,144.9539,Southern Metropolitan,3280.0
132,Albert Park,3,h,2615000.0,S,Cayzer,3.3,3206.0,3.0,2.0,1.0,177.0,181.0,1880.0,-37.8415,144.9585,Southern Metropolitan,3280.0
133,Albert Park,5,h,2100000.0,S,Greg,3.3,3206.0,5.0,2.0,1.0,237.0,151.22021949239888,1965.8799955347176,-37.8436,144.9557,Southern Metropolitan,3280.0
134,Albert Park,3,h,1300000.0,S,hockingstuart,3.3,3206.0,3.0,1.0,0.0,129.0,151.22021949239888,1965.8799955347176,-37.8422,144.94899999999998,Southern Metropolitan,3280.0
135,Albert Park,3,h,1370000.0,S,Greg,3.3,3206.0,3.0,2.0,2.0,0.0,85.0,2000.0,-37.8451,144.9511,Southern Metropolitan,3280.0
136,Albert Park,2,h,1000000.0,S,Cayzer,3.3,3206.0,2.0,1.0,0.0,288.0,151.22021949239888,1965.8799955347176,-37.8407,144.9523,Southern Metropolitan,3280.0
137,Albert Park,3,h,2575000.0,S,Greg,3.3,3206.0,3.0,2.0,1.0,228.0,151.22021949239888,1965.8799955347176,-37.8445,144.9501,Southern Metropolitan,3280.0
138,Albert Park,2,h,1322500.0,S,Greg,3.3,3206.0,2.0,1.0,0.0,149.0,98.0,1890.0,-37.8443,144.9481,Southern Metropolitan,3280.0
139,Albert Park,2,h,1562500.0,S,Greg,3.3,3206.0,2.0,1.0,0.0,141.0,83.0,1890.0,-37.8424,144.9562,Southern Metropolitan,3280.0
140,Albert Park,3,h,2000000.0,VB,RT,3.3,3206.0,3.0,2.0,1.0,211.0,147.0,1900.0,-37.847,144.9575,Southern Metropolitan,3280.0
141,Albert Park,3,h,1900000.0,S,Greg,3.3,3206.0,3.0,1.0,0.0,209.0,151.22021949239888,1900.0,-37.8468,144.9546,Southern Metropolitan,3280.0
142,Albert Park,3,h,3010000.0,S,Greg,3.3,3206.0,3.0,2.0,0.0,147.0,146.0,1890.0,-37.8473,144.9551,Southern Metropolitan,3280.0
143,Albert Park,4,h,2800000.0,VB,Cayzer,3.3,3206.0,4.0,3.0,1.0,327.0,254.0,1910.0,-37.8467,144.9475,Southern Metropolitan,3280.0
144,Albert Park,2,u,647000.0,S,Greg,3.3,3206.0,2.0,1.0,1.0,0.0,151.22021949239888,1965.8799955347176,-37.846,144.9542,Southern Metropolitan,3280.0
145,Albert Park,3,h,2100000.0,SP,Marshall,3.3,3206.0,2.0,1.0,1.0,120.0,123.0,1900.0,-37.8427,144.9546,Southern Metropolitan,3280.0
146,Albert Park,3,h,2000000.0,PI,Marshall,3.3,3206.0,3.0,1.0,1.0,238.0,131.0,1890.0,-37.8461,144.9528,Southern Metropolitan,3280.0
147,Albert Park,1,u,442500.0,S,Marshall,3.3,3206.0,1.0,1.0,0.0,0.0,34.0,1970.0,-37.8421,144.9517,Southern Metropolitan,3280.0
148,Albert Park,4,h,4735000.0,S,Marshall,3.3,3206.0,4.0,2.0,1.0,330.0,207.0,1910.0,-37.8477,144.9558,Southern Metropolitan,3280.0
149,Albert Park,2,h,1340000.0,S,Greg,3.3,3206.0,2.0,1.0,0.0,136.0,151.22021949239888,1965.8799955347176,-37.846,144.9517,Southern Metropolitan,3280.0
150,Albert Park,3,h,1801000.0,S,hockingstuart,3.3,3206.0,3.0,1.0,1.0,202.0,151.22021949239888,1965.8799955347176,-37.8429,144.9493,Southern Metropolitan,3280.0
151,Albert Park,3,h,1532000.0,S,Chisholm,3.3,3206.0,3.0,3.0,1.0,0.0,151.22021949239888,1965.8799955347176,-37.8415,144.9585,Southern Metropolitan,3280.0
